ID,device_type,brand,model,release_year,os,form_factor,cpu_brand,cpu_model,cpu_tier,cpu_cores,cpu_threads,cpu_base_ghz,cpu_boost_ghz,gpu_brand,gpu_model,gpu_tier,vram_gb,ram_gb,storage_type,storage_gb,storage_drive_count,display_type,display_size_in,resolution,refresh_hz,battery_wh,charger_watts,psu_watts,wifi,bluetooth,weight_kg,warranty_months,price
75721,Laptop,Samsung,Samsung Creator QO3,2024,macOS,Mainstream,AMD,AMD Ryzen 5 5509,3,8,16,2.4,3.5,NVIDIA,RTX 40 60,2,6,16,SSD,256,1,LED,15.6,2880x1800,120,70,180,0,Wi-Fi 6,5.1,1.7,24,1736.99
80184,Desktop,Lenovo,Lenovo Pro 5R2,2022,macOS,Mini-ITX,AMD,AMD Ryzen 3 5589,1,8,16,2.4,3.3,AMD,RX 6000 50,1,4,8,HDD,4096,1,OLED,27.0,1920x1080,144,0,0,750,Wi-Fi 6E,5.2,5.0,12,1459.99
19864,Desktop,Acer,Acer Pro 7SY,2024,macOS,ATX,AMD,AMD Ryzen 7 3229,5,16,32,3.2,4.0,Apple,Apple Integrated,4,2,64,NVMe,256,3,LED,27.0,1920x1080,144,0,0,650,Wi-Fi 6,5.1,4.0,12,2008.99
76699,Laptop,Samsung,Samsung Stealth 5EW,2023,Windows,Gaming,AMD,AMD Ryzen 7 5422,4,12,24,2.6,3.7,NVIDIA,RTX 30 80,4,10,72,NVMe,1024,1,OLED,15.6,1920x1080,60,99,240,0,Wi-Fi 5,5.3,1.5,24,2789.99
92991,Desktop,MSI,MSI Creator V90,2025,Windows,ATX,Intel,Intel i5-11623,3,10,18,2.8,3.8,Apple,Apple Integrated,3,0,32,HDD,512,1,IPS,27.0,1920x1080,120,0,0,750,Wi-Fi 5,5.0,13.0,24,1421.99
76434,Laptop,Lenovo,Lenovo Think K2V,2024,ChromeOS,2-in-1,AMD,AMD Ryzen 3 3279,1,4,6,2.0,2.9,NVIDIA,RTX 30 50,1,4,8,Hybrid,512,1,VA,15.6,1920x1080,60,50,45,0,Wi-Fi 5,5.2,1.7,12,1139.99
84004,Desktop,Apple,Apple Arena 2GM,2023,macOS,Mini-ITX,Apple,Apple M1,2,6,6,2.6,3.6,Apple,Apple Integrated,3,0,16,SSD,256,4,Mini-LED,27.0,2560x1440,144,0,0,650,Wi-Fi 6,5.2,8.0,36,2114.99
80917,Desktop,ASUS,ASUS Forge NRI,2021,Windows,ATX,Intel,Intel i9-11181,6,24,48,3.4,4.4,AMD,RX 6000 90,6,16,128,NVMe,1024,1,IPS,27.0,3840x2160,240,0,0,550,Wi-Fi 6,5.2,6.0,24,2758.99
60767,Desktop,ASUS,ASUS Think 27I,2024,Windows,ATX,AMD,AMD Ryzen 3 5863,1,4,8,2.4,3.3,NVIDIA,RTX 40 60,2,6,8,NVMe,1024,2,LED,24.0,3440x1440,60,0,0,300,Wi-Fi 5,5.0,6.0,36,1246.99
50074,Laptop,Apple,Apple Legion 1H6,2021,Windows,Mainstream,Apple,Apple M3 Pro,4,12,12,2.6,3.4,Apple,Apple Integrated,3,6,32,HDD,512,1,QLED,17.3,1920x1080,60,80,65,0,Wi-Fi 6,5.3,2.64,12,1717.99
27701,Laptop,Dell,Dell Nitro M03,2024,Linux,Ultrabook,Intel,Intel i3-10252,1,4,8,2.0,2.8,NVIDIA,RTX 30 50,1,4,8,SSD,2048,1,LED,15.6,3840x2160,60,90,45,0,Wi-Fi 6E,5.0,1.5,48,1370.99
42141,Desktop,Apple,Apple Cube 9P8,2025,Windows,SFF,Apple,Apple M2 Pro,5,16,16,3.2,4.3,Apple,Apple Integrated,4,0,64,NVMe,256,4,OLED,27.0,2560x1440,165,0,0,450,Wi-Fi 5,5.3,10.0,36,2893.99
45080,Laptop,Dell,Dell Legion YHY,2020,Windows,Ultrabook,Intel,Intel i7-10656,5,16,32,2.8,3.7,Intel,Arc A770 Limited,6,0,96,SSD,256,1,LED,14.0,1920x1080,165,56,90,0,Wi-Fi 6E,5.1,1.37,24,2926.99
16638,Laptop,ASUS,ASUS Think MWH,2021,Windows,Gaming,Intel,Intel i5-11661,3,10,20,2.4,3.3,AMD,RX 7000 60,2,6,16,NVMe,512,1,IPS,13.3,1920x1080,165,56,65,0,Wi-Fi 7,5.2,1.52,12,1565.99
20424,Desktop,ASUS,ASUS Station 7CM,2020,Windows,Mini-ITX,AMD,AMD Ryzen 5 5398,3,8,16,2.8,3.9,NVIDIA,RTX 40 70,3,8,32,HDD,512,1,Mini-LED,24.0,1920x1080,60,0,0,750,Wi-Fi 6,5.2,5.0,12,1489.99
88702,Desktop,HP,HP Forge YBI,2023,macOS,Full-Tower,AMD,AMD Ryzen 7 5997,4,12,22,3.0,4.0,NVIDIA,RTX 40 80,4,10,72,SSD,1024,3,LED,32.0,1920x1080,60,0,0,650,Wi-Fi 6,4.2,4.0,12,2064.99
149,Laptop,Apple,Apple Stealth WHR,2024,Windows,Ultrabook,Apple,Apple M3 Pro,6,24,24,3.0,3.9,Apple,Apple Integrated,6,2,128,NVMe,512,1,QLED,15.6,3840x2160,60,70,90,0,Wi-Fi 7,5.1,1.7,12,4304.99
1761,Laptop,Dell,Dell Legion WES,2023,ChromeOS,Gaming,Intel,Intel i7-10172,5,16,32,2.8,3.9,NVIDIA,RTX 30 80,4,10,64,HDD,512,2,QLED,13.3,2880x1800,60,99,180,0,Wi-Fi 6,5.0,1.52,12,2417.99
63120,Laptop,Gigabyte,Gigabyte Nitro 0EU,2023,Windows,Ultrabook,Intel,Intel i7-13147,4,14,28,2.6,3.7,NVIDIA,RTX 30 80 Ti,5,12,72,NVMe,2048,2,OLED,15.6,2560x1600,90,70,65,0,Wi-Fi 6,5.3,2.5,24,3187.99
69161,Desktop,Dell,Dell Station 7S6,2019,Windows,Micro-ATX,Intel,Intel i5-13735,3,8,16,2.8,3.8,NVIDIA,RTX 40 60,2,6,16,NVMe,2048,2,LED,32.0,1920x1080,60,0,0,550,Wi-Fi 6,5.0,6.0,24,1393.99
64883,Desktop,Samsung,Samsung Think 2M6,2024,Linux,Full-Tower,Intel,Intel i5-12370,3,8,16,2.8,3.7,NVIDIA,RTX 40 70,3,8,32,Hybrid,512,4,LED,27.0,2560x1440,120,0,0,750,Wi-Fi 6E,5.0,9.0,36,1684.99
2495,Laptop,Acer,Acer Stealth 4NR,2020,macOS,Gaming,Intel,Intel i5-13121,3,8,14,2.4,3.4,NVIDIA,RTX 30 70,3,8,32,SSD,256,1,Mini-LED,15.6,1920x1080,120,70,65,0,Wi-Fi 5,4.2,1.7,36,2126.99
80296,Desktop,Lenovo,Lenovo Forge XRQ,2023,Windows,ATX,AMD,AMD Ryzen 5 7802,2,8,16,2.6,3.6,NVIDIA,RTX 30 60,2,6,16,NVMe,1024,2,OLED,27.0,3440x1440,120,0,0,550,Wi-Fi 6,5.3,12.0,12,1683.99
19447,Laptop,MSI,MSI Stealth 1ER,2023,Windows,Ultrabook,AMD,AMD Ryzen 7 7472,5,18,36,2.8,3.7,Intel,Arc A700,4,4,64,NVMe,2048,2,LED,15.6,2560x1600,120,56,120,0,Wi-Fi 6,5.0,2.5,24,2582.99
41331,Laptop,Gigabyte,Gigabyte Creator A5J,2024,Windows,Gaming,Intel,Intel i5-12131,3,10,20,2.4,3.4,NVIDIA,RTX 40 70,3,8,32,HDD,512,1,LED,15.6,1920x1080,120,80,90,0,Wi-Fi 7,5.1,1.5,24,1620.99
14888,Desktop,Lenovo,Lenovo Arena X2C,2021,ChromeOS,ATX,AMD,AMD Ryzen 7 5578,5,20,40,3.2,4.1,NVIDIA,RTX 30 80 Ti,5,12,96,NVMe,512,1,OLED,24.0,3440x1440,144,0,0,850,Wi-Fi 5,5.2,16.0,48,2272.99
88636,Laptop,HP,HP Pro PSL,2019,Linux,Mainstream,Intel,Intel i9-13226,6,24,48,3.0,4.0,NVIDIA,RTX 30 90,6,16,128,Hybrid,256,2,QLED,14.0,2560x1600,60,80,120,0,Wi-Fi 6,5.2,1.57,24,3074.99
94892,Laptop,Acer,Acer Creator R56,2019,Windows,Gaming,Intel,Intel i7-13888,4,14,28,2.6,3.6,NVIDIA,RTX 40 80 Ti,5,12,64,HDD,256,1,LED,15.6,3840x2160,60,99,90,0,Wi-Fi 5,5.0,1.5,12,2298.99
92731,Desktop,Acer,Acer Station NIH,2020,Windows,Micro-ATX,Intel,Intel i5-10136,3,8,16,2.8,3.6,Apple,Apple Integrated,4,0,32,NVMe,512,1,IPS,27.0,3440x1440,120,0,0,650,Wi-Fi 6E,5.0,12.0,36,1622.99
29130,Laptop,HP,HP Think 11L,2025,Windows,2-in-1,AMD,AMD Ryzen 5 6438,3,10,18,2.4,3.2,NVIDIA,RTX 40 70,3,8,32,SSD,256,1,LED,14.0,1920x1080,90,90,90,0,Wi-Fi 6,5.3,1.37,12,1553.99
